ஆப்பிரிக்கா	Afrika
ரேன்டி சேக்மன்	Randy Schekman
குரங்கு (சீன சோதிடம்)	Aap (astrologie)
மேல் முன் இதழ்குவி உயிர்	Geronde gesloten voorklinker
புலி (சீன சோதிடம்)	Tijger (astrologie)
வாணிகச் சரக்கு விற்பனை	Merchandising
சிறுநீரகக் கொடை	Niertransplantatie
மக்குவாரி பல்கலைக்கழகம்	Macquarie University
நோர்ட்டன் ஆண்டிவைரஸ்	Norton AntiVirus
முக்கூடல்	Mukkudal
ஜாவா டெவலப்மெண்ட் கிட்	Java Development Kit
மகாவதார பாபா	Mahavatar Babaji
தனித்தியங்கும் வாகனம்	Zelfrijdende auto
புபொப 62	NGC 62
பண்பாட்டுச் சார்பியம்	Cultuurrelativisme
அசிமில்	Assimil
வான்சேவை அழைப்புக் குறியீடுகள்	Lijst van IATA-codes voor luchtvaartmaatschappijen
சத்துவாச்சாரி	Sathuvachari
குலச் சமஅமைவியம்	Groepsisomorfisme
புனலூர்	Punalur
சிக்மகளூரு மாவட்டம்	Chikmagalur (district)
இயல்நிலை உட்குலம்	Normaaldeler
ஏழு தலைமுறைகள் (புதினம்)	Roots: Wij zwarten
நாப்பட்டா	Napata
அனைத்துவகை இனத்துவ பாகுப்பாட்டையும் ஒழிப்பதற்கான அனைத்துலக உடன்படிக்கை	Internationaal Verdrag inzake de uitbanning van elke vorm van rassendiscriminatie
பீட்டர் பொப்வோப்	Peter Popoff
தே தேயும்	Te Deum (hymne)
டென்னிசு தொழில்முறை விளையாட்டுக்காரர்கள் சங்கம்	Association of Tennis Professionals
ஈர்ப்பு	Aantrekking
ரோமனெசுக் மறுமலர்ச்சிக் கட்டிடக்கலை	Neoromaanse architectuur
பேர்கோஸ் பெருங்கோவில்	Kathedraal van Burgos
படைத்துறை தொழிற்துறை கூட்டுத்தொகுதி	Militair-industrieel complex
ஜார்ஜ் புஷ் கண்டமிடை வானூர்தி நிலையம்	George Bush Intercontinental Airport
நிறப்புரி பிறட்சிகள்	Chromosomale afwijking
புபொப 63	NGC 63
புபொப 80	NGC 80
குருநாகல் மாவட்டம்	Kurunegala (district)
மல்லசமுத்திரம்	Mallasamudram
கியொசெரா	Kyocera
போளூர்	Polur
குறிவிலக்கி	Decoder
பிளஷிங் மெடோசு–கோரோனா பூங்கா	Flushing Meadows Corona Park
கிளாசியசு-கிளாப்பிரான் சமன்பாடு	Clausius-Clapeyronvergelijking
இசுலாமியப் பொற்காலம்	Islamitische gouden tijdperk
சிறீ லங்கா தாயே	Sri Lanka Matha
கோல்ட் கடற்கரை	Gold Beach
பிஜி கூம்பலகுச் சில்லை	Fiji-papegaaiamadine
பேர்சைடீ	Echte baarzen
பிரெய்ட்டன் சுழற்சி	Braytoncyclus
எல்செவியர்	Elsevier (uitgeverij)
இறுக்கி	Sluitspier
தாராளமயமாக்கல்	Liberalisering
கட்னி மாவட்டம்	Katni (district)
மாணவகன் முற்றுகை	Herdersmat
பிலிப்பைன்சு பல்கலைக்கழகம்	University of the Philippines
நடப்புக் கணக்கு	Lopende rekening
சொட்டு நீர்ப்பாசனம்	Druppelirrigatie
ஓருறுப்புக் கோலம்	Singleton (ontwerppatroon)
தாரா (பௌத்தம்)	Tara (boeddhisme)
படிமவாதம்	Imagisme
எடிசன், நியூ ஜெர்சி	Edison (New Jersey)
கிழக்கு ரதர்ஃபோர்ட்	East Rutherford (New Jersey)
குவான்சா	Kwanzaa
பிரம்மம்	Brahman (filosofisch concept)
தரவு போக்கு வரைபடம்	Data flow diagram
அன் அமெரிக்கன் இன் பாரிஸ் (திரைப்படம்)	An American in Paris (film)
குளிரேற்றல்	Koeltechniek
பொட்டு	Bindi (decoratie)
மரியாவின் மாசற்ற இதயம்	Onbevlekt Hart van Maria
லெஜாண்டர் குறியீடு	Legendre-symbool
கணித அமைப்பு	Wiskundige structuur
காட்டுப் பொறுப்பாண்மை அவை	Forest Stewardship Council
மைக்ரோசாப்ட் வர்ச்சுவல் பிசி	Microsoft Virtual PC
ஆந்திர பிரபா	Andhra Prabha
குழந்தை பிறப்புக்குப் பின்னரான காலம்	Kraambed
புஷ்கர்	Pushkar
ஒலிம்பிக் போட்டிகளில் இந்தியா	India op de Olympische Spelen
மாஸ்கோ சர்வதேசத் திரைப்பட விழா	Internationaal filmfestival van Moskou
கொண்டை நீர்க்காகம்	Indische aalscholver
சுகர்ணோ-ஹத்தா பன்னாட்டு வானூர்தி நிலையம்	Internationale luchthaven Soekarno-Hatta
இரகினா சொர்க்கப் பறவை	Raggi's paradijsvogel
தானுந்துப் பகிர்வு	Carpoolen
கூகிள் லூனர் எக்சு பரிசு	Google Lunar X Prize
இயேசுவின் பணிவாழ்வு	Openbaar optreden van Jezus
ஆமைப் புறா	Treurduif
சினாம்பா	Chinampa
சதவிகிதப் புள்ளி	Basispunt
பராக்	Palo Alto Research Center
வகையீடு (கணிதம்)	Differentiaal
கண்ணீர்த் தடங்கள்	Trail of Tears
காண்டாமிருக இருவாச்சி	Gewone neushoornvogel
உலக இரட்சகர் சபை	Redemptoristen
பூமி உச்சி மாநாடு	VN-conferentie inzake Milieu en Ontwikkeling
களிப்பாறை	Schalie (gesteente)
சிக்கிலிடே	Chikilidae
பிராமைடீ	Zilvervissen
செயற்கை வைரம்	Diamantsynthese
மாமித் மாவட்டம்	Mamit (district)
செப்டெம்பர் 2005	September 2005
மார்ட்டின் லூதர் கிங் நாள்	Martin Luther Kingdag
மஞ்சள் தலைப்பாகைக் கிளர்ச்சி	Gele Tulbandenopstand
இணைக்கணம்	Nevenklasse
கொனார்க் சூரியன் கோயில்	Zonnetempel van Konarak
பரிவு	Sympathie
வானவில் கூம்பலகுச் சில்லை	Goulds amadine
இடைப்படலம்	Grenslaag
அகலத்திரை	Breedbeeld (televisie)
அறுதி மதிப்புத் தேற்றம்	Extremumstelling
சிவப்பு மூக்கு ஆள்காட்டி	Indische kievit
சிங்கப்பூர் பிளையர்	Singapore Flyer
தீவுகள் மாவட்டம்	Islands District
மனித விண்வெளிப்பறப்பு	Bemande ruimtevaart
திறந்த ஆட்டம்	Open spel
பாசிலிகஸ் பல்லிகள்	Kroonbasilisk
கவல்கேட் (திரைப்படம்)	Cavalcade (film)
சூழற் பொருளியல்	Milieueconomie
1977 (திரைப்படம்)	Film in 1977
எண்மிய ஆயிரவாண்டு பதிப்புரிமைச் சட்டம்	Digital Millennium Copyright Act
மால்டாவின் பெருங்கற்த்தூண் கோவில்கள்	Megalithische tempels van Malta
அரசு சமயம் பிரிவினை	Scheiding van kerk en staat
பேட்கேர்ள்	Batgirl
பெரிய பச்சைக்கிளி	Grote alexanderparkiet
நான்கு சிறந்த செவ்விய புதினங்கள்	Vier klassieke romans
முட்டாளின் இறுதி	Narrenmat
பசிலெயசு	Basileus
மரக்காணசோ	Finale wereldkampioenschap voetbal 1950
லவ் கப்பன்ஸ்	Love Happens (2009)
குறிப்பிடத்தக்க கட்டிடக்கலைஞர்களின் பட்டியல்	Lijst van architecten
விண்ணோடம் 2	SpaceShipTwo
உவர் நிலம்	Verzilting
ஒலி மாற்றம்	Klankverschuiving
நாய் (சீன சோதிடம்)	Hond (astrologie)
புபொப 69	NGC 69
பொதுத் திருமுகங்கள்	Katholieke brieven
தொடர்புசார் மாதிரி	Relationeel model
அண்டர்வேர்ல்ட் 3	Underworld: Rise of the Lycans
ஆட்கின்சு உணவு	Atkins-dieet
நேரிலி ஒளியியல்	Niet-lineaire optica
திறந்தவெளி அருங்காட்சியகம்	Openluchtmuseum
கிரிமியா	Autonome Republiek de Krim
இரட்டைக் குடியுரிமை	Dubbele nationaliteit
சராசரித் தனிப்பாதை	Vrije weglengte
அக்சோப்ய புத்தர்	Akshobhya
பாம்பு (சீன சோதிடம்)	Slang (astrologie)
ஒன்றின் படிமூலம்	Eenheidswortel
விண்ணக அரசியே!	Regina coeli
ஓல்க்கான்	Olchon
ஹெப்பீஸ்தஸ் கோயில்	Tempel van Hephaistos
பாலி மைனா	Balispreeuw
புபொப 71	NGC 71
லாக்ராஞ்சியின் நான்கு வர்க்கத் தேற்றம்	Vier-kwadratenstelling van Lagrange
யூட்டா கடற்கரை	Utah Beach
பசிபிக் தீவுகளின் ஒன்றியம்	Pacific Islands Forum
உலக அகதி நாள்	Wereldvluchtelingendag
மோரோனைடீ	Moronen
இணைக்கையில் தலைகீழாகும் தோற்றமுரண்	Simpsons paradox
சோதனைச்சாவடி	Grensovergang
விழிப்பாவை அழற்சி	Keratitis
பியாவர்	Beawar
பெள்தங்கடி	Beltangadi
பிசியூ	Bixie
ஆபர்ன் ஹில்ஸ்	Auburn Hills
வடக்கு தெற்கு வழித்தடம்	North South Line (Singapore)
பவானிசாகர்	Bhavanisagar
பேப்பூர்	Beypore
அழைப்பு அடுக்கு	Call stack
கிசிமென்	Kizimen
ஆகஸ்ட் 2012	Augustus 2012
சினிஸ்டர்	Sinister (film)
வேக்பீல்டு	Wakefield (district)
இரத்த வங்கி	Bloedbank
பிரீவிட்டி நடவடிக்கை	Operatie Brevity
பெருமூக்குக் கீரி	Langsnuitmangoeste
லியோனிட் பிரெஷ்னெவ்	Leonid Brezjnev
அரைப்பகாத்தனி	Semipriemgetal
ஆவேரி மாவட்டம்	Haveri (district)
பறப்பியல்	Luchtvaart
தூண்டல் உணரி	Inductieve nabijheidssensor
ஓரிகன் பல்கலைக்கழகம்	Universiteit van Oregon
ஓக்கினாவா மாகாணம்	Okinawa (prefectuur)
தாவீது (பெர்னீனி)	David (Bernini)
123 உடன்படிக்கை	Onderstaatssecretaris
மஞ்சட் சொண்டுப் பூங்குயில்	Sulawesimalkoha
ஆபிரிக்கான விக்கிப்பீடியா	Afrikaanstalige Wikipedia
அலிகார் மாவட்டம்	Aligarh (district)
செம்போத்து	Chinese spoorkoekoek
பிளக்வெல் பதிப்பகம்	Wiley-Blackwell
சாகிப்கஞ்சு மாவட்டம்	Sahibganj (district)
கனடா பால்சம்	Canadabalsem
சிந்துதுர்க் மாவட்டம்	Sindhudurg (district)
வில்லை (ஒளியியல்)	Lens (optica)
வேர்க்குரு	Miliaria rubra
ஜெயங்கொண்டம்	Jayankondam
கருவயிற்றுப் பூங்குயில்	Zwartbuikmalkoha
இரும்புச் சத்து	Staalpillen
ஐக்கிய நாடுகள் மனித உரிமைகள் குழு	Mensenrechtencomité van de Verenigde Naties
தவத்திருப்பாடல்கள்	Boetepsalmen
சுவாமிமலை	Swamimalai
தெற்கு ஆசியா	Zuid-Azië
பெர்பேத்துவா மற்றும் பெலிசித்தா	Perpetua en Felicitas
உலக உணவுப் பரிசு	Wereldvoedselprijs
ஐக்கிய அரபு அமீரகத்தின் பொருளாதாரம்	Economie van de Verenigde Arabische Emiraten
நைனித்தால்	Nainital (stad)
அப்பொலோனிய வட்டங்கள்	Cirkel van Apollonius
லீட்சு	City of Leeds
நான்சி அஜ்ரம்	Nancy Ajram
வெங்காயத்தாள்	Bosui
நள்ளிரவுச் சூரியன்	Middernachtzon
உரிமைச் சாசனம் 08	Charta 08
போக்குவரத்துப் பொறியியல்	Verkeerskunde
எல்லாம் வல்ல இறைவனிடமும் (செபம்)	Confiteor
மைக்ரோசாப்ட் ஆபிஸ் 365	Microsoft Office 365
மனித நேயம்	Humanitarisme
பியெரி பெர்தியர்	Pierre Berthier
கஞ்சாம் மாவட்டம்	Ganjam (district)
ஆர்வர்டு மார்க் I	Harvard Mark I
குருணாகல்	Kurunegala
ரமோன் மக்சேசே விருது	Ramon Magsaysay Award
தன்விருப்பு எண்கள்	Narcistisch getal
பசும் கொலோபசு	Groene franjeaap
கோவை (நிரலாக்கம்)	Uitdrukking (programmeren)
முக்கோண மையம்	Driehoekscentrum
உறைபனிச்சறுக்கு	Schaatsen
சீன மக்கள் குடியரசின் சிறப்பு நிர்வாகப் பகுதிகள்	Speciale Administratieve Regio van de Volksrepubliek China
சிவந்திபுரம்	Sivanthipuram
ஆந்திரத் திரைப்படத்துறை	Tollywood
இனக்குழுக்களின் பட்டியல்	Lijst van bevolkingsgroepen
உபர் (நிறுவனம்)	Uber (bedrijf)
ஆஸ்திரேலியா (பக்கவழி)	Australia
ஆஸ்திரேலிய ஒலிபரப்புக் கூட்டுத்தாபனம்	Australian Broadcasting Corporation
ஆத்திரேலியப் பசுமைக் கட்சி	Australian Greens
நஹான்	Nahan
ஆத்திரேலியக் கால்பந்துக் கூட்டமைப்பு	Football Federation Australia
ஒருங்கிணைப்புச் சோதனை	Integratietest
வரைகலை பயனர் இடைமுகம்	Grafische gebruikersomgeving
லின்சோபிங் பல்கலைக்கழகம்	Universiteit van Linköping
அதிஸ்ட குக்கி	Gelukskoekje
வட்டத்துண்டு	Cirkelsegment
பச்சைக் குக்குறுவான்	Bruinkopbaardvogel
நீல முகப் பூங்குயில்	Kleine groensnavelmalkoha
வகையிடத்தக்கச் சார்பு	Differentieerbaarheid
நிறுவனம் (வணிகம்)	Vennootschap
விடுப்பாற்றல்	Uittreearbeid
மனப்பாடம் செய்தல்	Automatiseren (didactiek)
மகதி	Mahdi
இரட்டைத் தாக்குதல்	Vork (schaken)
தி பேட்டில் ஆஃப் அல்ஜியர்ஸ்	La battaglia di Algeri
காஷ்மீரப் பறக்கும் அணில்	Eoglaucomys fimbriatus
இவான் பீட்டர்ஸ்	Evan Peters
ஃபை தோற்றப்பாடு	Phi-fenomeen
பகுதிநிற பறக்கும் அணில்	Hylopetes alboniger
டெஸ்பெரேஸன்	Desperation (film)
யங் ஜஸ்டிஸ் (தொலைக்காட்சி தொடர்)	Young Justice (animatieserie)
தன் வினைவேகமாற்றி	Autokatalyse
சால்ட் லேக் அரங்கம்	Salt Lake Stadium
மாத்தளை மாவட்டம்	Matale (district)
டச்சு ஹுல்டென்	Nederlandse gulden
கிரெய்கின் பட்டியல்	Craigslist
ஆவணப்படுத்தல்	Documentatiesysteem
பழுப்பு ஈ பிடிப்பான்	Bruine vliegenvanger
அவ்ரோவிசம்	Averroïsme
வெண்புருவக் கொண்டலாத்தி	Witbrauwbuulbuul
பார்த்தோலின் சுரப்பி	Klier van Bartholin
அவிவா	Aviva
ஆசம்கர் மாவட்டம்	Azamgarh (district)
ஆங்கிலம் சாராத நிரலாக்க மொழிகள்	Lijst van niet op het Engels gebaseerde programmeertalen
பிக் டைம் ரஷ்	Big Time Rush
ரேஞ்சர் 1	Ranger 1
கரும்பருந்து	Indische zwarte arend
அரச சொர்க்கப் பறவை	Koningsparadijsvogel
வெள்ளைக் கண்ணி	Indische brilvogel
கம்பளி அரச சொர்க்கப் பறவை	Wimpeldrager
மரகதப்புறா	Smaragdduif
வில்சனின் சொர்க்கப் பறவை	Wilsons paradijsvogel
பிக்கெட்டி	Bikketti
ஜெர்மன் கடற்பறவை	Heermanns meeuw
தாயம்	Pachisi
ஃபார் கிரை 3	Far Cry 3
பிஜ்னோர்	Bijnor (stad)
ஓவன் பறவை	Ovenvogel
சென்செக்ஸ்	BSE Sensex
பி (நிரலாக்க மொழி)	B (programmeertaal)
இம்பா மாகாணம்	Ba (provincie)
பாபர்	Babur
காசநோய்த் தடுப்பூசி	BCG-vaccin
குயில் (ஆசியக் குயில்)	Indische koël
காகர் நதி	Ghaggar-Hakra
பதாவுன்	Budaun (stad)
இறகுப்பந்தாட்ட உலகக் கூட்டமைப்பின் உலகப் போட்டிகள்	Wereldkampioenschappen badminton
இராஜஸ்தான் ஆளுநர்களின் பட்டியல்	Lijst van gouverneurs van Rajasthan
பதுளை மாவட்டம்	Badulla (district)
பெகு	Pegu (stad)
பகுஜன் சமாஜ் கட்சி	Bahujan Samajpartij
பெய்லி சேஸ்	Bailey Chase
பலாங்கீர் மாவட்டம்	Bolangir (district)
பலுவார்ட் பாலம்	Baluartebrug
லூபா இனக்குழு	Luba (volk)
பனாரசு இந்து பல்கலைக்கழகம்	Banaras Hindu-universiteit
பெங்களூரு நகர மாவட்டம்	Bangalore Urban
பெங்களூரு ஊரக மாவட்டம்	Bangalore Rural
வங்காளதேசத் துடுப்பாட்ட அணி	Bengalees cricketelftal
கனேடிய வங்கி	Bank of Canada
பதாகை	Banier
பர்கஃட் மாவட்டம்	Bargarh (district)
பாரெட்டீனா	Barretina
பரட்டின் உணவுக்குழாய்	Barrettoesofagus
பசவ பிரேமானந்த்	Basava Premanand
லிச்சன் அன்னை பசிலிக்கா	Mariabasiliek van Licheń
வாதநோய் எதிர்ப்பு மருந்து	DMARD
தூண் அன்னை பசிலிக்கா	El Pilar (kathedraal)
ஆழ்கடல் அளவியல்	Bathymetrie
பேட்மேன்:மிஸ்ட்ரி ஆப் தி பேட்வுமன்	Batman: Mystery of the Batwoman
மட்டையாளர்	Batsman
மட்டக்களப்பு மாவட்டம்	Batticaloa (district)
மட்டக்களப்பு	Batticaloa (stad)
இணைக்கப்பட்ட சிப்பாய்கள்	Verbonden pionnen
சிந்தோ	Shintoïsme
கனசதுரம்	Kubus (ruimtelijke figuur)
பியூபோட் (திரைப்படம்)	Beaufort (film)
இஸநகி	Izanagi en Izanami
பீடு மாவட்டம்	Beed (district)
பிராண ஆத்மன்	Begtse
தொகுப்பியக்க உயிரியல்	Systeembiologie
இருப்புக் கணக்கு	Voorraad
சேவையாக மென்பொருள்	Software as a Service
பெல்காம் மாவட்டம்	Belgaum (district)
கிடைப்பருமை	Schaarste
பெல்லா மையம்	Bella Center
கணிப்பியப் பாய்ம இயக்கவியல்	Numerieke stromingsleer
வணிக மேம்பாட்டு மாதிரி	Bedrijfsmodel
விருந்தோம்பல்	Gastvrijheid
மேலுயிர்	Gesloten klinker
செயலி (கணினியியல்)	Methode (objectoriëntatie)
முதலுதவி கருவிப் பெட்டி	EHBO-koffer
நில அளவியல்	Landmeetkunde
மக்களாட்சிக் கட்சி (சைப்பிரஸ்)	Dimokratikó Kómma
சிகப்பு மாஃப்பியா	Russische maffia
ஆல் த கிங்ஸ் மென் (திரைப்படம்)	All the King's Men (1949)
வடவெளிச் சாம்பற் குரங்கு	Voor-Indische hoelman
குவாந்தான்	Kuantan
சுருட்டைவிரியன்	Zaagschubadder
பென்சைல்	Benzylgroep
ஆபெரா மினி	Opera Mini
எலும்பியல்	Osteologie
இந்திய இரயில்வே	Indian Railways
சோவியத் ஒன்றியத்தின் கூட்டுப் பண்ணைத் திட்டம்	Collectivisatie in de Sovjet-Unie
இந்திரா காந்தி பன்னாட்டு வானூர்தி நிலையம்	Indira Gandhi International Airport
எண்ணெய் விளக்கு	Olielamp
சேவல் (சீன சோதிடம்)	Haan (astrologie)
சாம்பியா அரசுத் தலைவர்களின் பட்டியல்	Lijst van presidenten van Zambia
சல்வார்-கமீஸ்	Salwar kameez
கிறித்துவ மெட்டல்	White metal
சிலி சமதர்மவாதக் கட்சி	Socialistische Partij van Chili
மினெர்வா மேல் புனித மரியா கோவில்	Santa Maria sopra Minerva
செஃப்பீல்ட் பல்கலைக்கழகம்	Universiteit van Sheffield
இசுடோக் சமன்பாடு	Wet van Stokes
சிரிக்கும் கூக்கபரா	Kookaburra
1729 (எண்)	1729 (getal)
முதல் நாள் உறை	Eerstedagenvelop
மென்பொருள் சுதந்திர தினம்	Software Freedom Day
நாணயம் சுண்டல்	Kruis of munt
கொழுப்புறிஞ்சல்	Liposuctie
வாக்குப்பதிவுக்குப் பிந்தைய கருத்துக்கணிப்பு	Exitpoll
நாய் இறைச்சி	Hondenvlees
பாஸ்டன் மாரத்தான்	Boston Marathon
அகழ்ப்போர்	Slag van de gracht
விம்பிள்டன்	Roland Garros 2006
காஃபெக்லுபென் தீவு	Kaffeklubbeneiland
வில்கபம்பா	Vilcabamba (Peru)
தரக் கட்டுப்பாடு	Kwaliteitsbewaking
செருகி (சதுரங்கம்)	Penning (schaken)
சமிக்ஞை கடத்துகை	Signaaltransductie
அழுத்தவிகிதம்	Compressieverhouding
தரைப் பயிற்சி (சீருடற்பயிற்சி)	Vloer (turnonderdeel)
ரோட்ஸ்டெர்	Roadster
கிலோமீட்டர்	Kilometer
இணையச்சு விதி	Stelling van Steiner
விசைப்பலகை, திரை, சுட்டி நிலைமாற்றி	KVM-switch
மின்சார நிறுத்தம்	Stroomuitval
கோரி சுழற்சி	Cori-cyclus
த அப்பீல்	De aanklacht
விம்மல் (ஒலியியல்)	Zweving
பெரிய பள்ளிவாசல் கைப்பற்றல்	Bezetting van de Al-Masjid al-Haram
ஏவாள்	Eva (persoon)
பாஸ்கலின் பந்தயம்	Gok van Pascal
நுண்படிவம்	Microfilm
நாய்ச்சண்டை	Luchtgevecht
அதிமீயொலிவேகம்	Hypersonische snelheid
கொலம்பிய கால்பந்துக் கூட்டமைப்பு	Colombiaanse voetbalbond
திசை ஒவ்வா செயல்முறை	Polytroop
அரசியல் விடுதலை	Politieke vrijheid
பெத்தானியா	Bethanië
உராய்வுப் போர்	Uitputtingsoorlogsvoering
காரணம் காரிய வரைபடம்	Ishikawa-diagram
சாண்டோக்கான்	Sandokan
ரஷ்ய கிராய்கள்	Krajs van Rusland
ஆட்டக் கடிகாரம்	Wedstrijdklok
சுற்றுச்சூழல் பாதுகாப்பு	Milieubescherming
ஈபிட்டா	EBITDA
ஜூனோ கடற்கரை	Juno Beach
பிரிக் நாடுகள்	BRIC
கோண அதிர்வெண்	Hoekfrequentie
கன்பூசியஸ் நிலையம்	Confucius Instituut
மிகைப்பெருக்கம்	Hyperplasie
தொலை தூர விண்வெளி வலைப் பின்னல்	Deep Space Network
உருசியாவின் ஓபலாசுத்துகள்	Oblasten van Rusland
தருணத் தொற்று	Opportunistische infectie
கங் (இசைக்கருவி)	Hang
வன்கு ராக்	Funkrock
அனைத்துலக அலகு	Internationale Eenheid
எழுத்து பாகுபடுத்தி	Lexicale analyse
கண்ணாடி பிம்ப எழுத்துமுறை	Spiegelschrift
சுலெஸ்விக்-ஹோல்ஸ்டீனின் இளங்கோ கிரித்தியன் விக்டர்	Christiaan Victor van Sleeswijk-Holstein-Sonderburg-Augustenburg
பல்கோண எண்	Veelhoeksgetal
தொண்டைக் கட்டு	Kroep (ziekte)
திருப்பூர்	Tirupur
ஹவா மஹால்	Hawa Mahal
நாள்மீன் பல்கோணி	Sterveelhoek
சீனாவில் இணையத் தணிக்கை	Internetcensuur in China
கட்டிட அனுமதி	Bouwvergunning
சுற்றுயர்த்தி	Paternoster (lift)
எகிப்துக்குத் தப்பி ஓடிச் செல்லுதல்	Vlucht naar Egypte
இந்தியப் பொதுவுடமைக் கட்சி	Communistische Partij van India
நிதிச் சேவைகள்	Financiële dienstverlening
நிலப் பயன்பாட்டுத் திட்டமிடல்	Bestemmingsplan (Nederland)
சூரிய வெப்ப சேகரிப்பான்	Zonnecollector
லாஹௌல் மற்றும் ஸ்பிதி மாவட்டம்	Lahul and Spiti
யூத மெய்யியல்	Joodse filosofie
தாக்குதல் (இயற்பியல்)	Stoot (natuurkunde)
யூகோசுலாவிய கூட்டாட்சி குடியரசு	Federale Republiek Joegoslavië
குவாட்றன்டிட் எரிகற் பொழிவு	Boötiden
இந்தியாவின் புவியியல்	Geografie van India
இராணுவ ஐவண்ணக்கிளி	Soldatenara
கருநீல ஐவண்ணக்கிளி	Lears ara
கசுடா சியம்ப்ரே, கொமண்டெடே	Hasta Siempre, Comandante
ராய் இசை	Rai (muziek)
கார்பன் வரவினம்	Emissiehandel
கள்ளு	Palmwijn
பிராணயாமா	Pranayama
கதகளி	Kathakali
தங்க அரிசி	Gouden rijst
கருப்பையகம்	Endometrium
புள்ளி ஆந்தை	Brahmaanse steenuil
குள்ளத்தாரா	Coromandeleend
புள்ளி மூக்கு வாத்து	Indische vlekbekeend
ரஷ்ய மக்கள் நட்புறவுப் பல்கலைக்கழகம்	Universiteit van de Vriendschap der Volkeren
நீலகிரி வரையாடு	Nilgirithargeit
மெக்சிக்கோ எறும்புண்ணி	Noordelijke boommiereneter
ஜனநாயகத்துக்கான தேசிய பேரணி	Rassemblement National Démocratique
கீழுயிர்	Open klinker
குதிரைக் கரடு (சீருடற்பயிற்சி)	Paardvoltige
செல்வந்தனும் இலாசரசும் உவமை	Gelijkenis van de rijke man en Lazarus
உள்மூச்சு	Inademing
நாசா வேல்ட் வின்ட்	NASA World Wind
ஸ்மிருதி	Smriti
கரிமம்-14	Koolstof-14
கூகிள் குழுமம்	Google Groups
பரோக் கட்டிடக்கலை	Barokarchitectuur
குறடு	Nijptang
மீயுயர் வரையறைத் தொலைக்காட்சி	Ultra High Definition Television
இண்டர்நெட் எக்ஸ்ப்ளோரர் 8	Internet Explorer 8
தளகதிர் படம்	Tomografie
மின்பொறி விளக்கு	Booglamp
களரிப்பயிற்று	Kalaripayattu
செதிற்கல்	Levalloistechniek
ஆப்ரிகானர்	Afrikaners
அயூத்தியா இராச்சியம்	Koninkrijk Ayutthaya
சிபான்	CPAN
திருத்தந்தையின் ஆலோசனைக்குழு	Consistorie
இணையத் தொலைக்காட்சி	Internettelevisie
விண்மீன் வலையமைப்பு	Sternetwerk
இசுகுவிட்	Squid (software)
விண்டோஸ் லைவ்	Windows Live
கட்டிடத் தகவல் மாதிரியாக்கம்	Bouwwerkinformatiemodel
முற்றுகை (சதுரங்கம்)	Schaak
இசுக்கோலர்ப்பீடியா	Scholarpedia
மச்சோயிசம்	Macho
சஙீரான்	Sangiran
நோக்கியா 5800 எக்ஸ்ப்ரெஸ்ம்யூசிக்	Nokia 5800
மக்கதோனிய விக்கிப்பீடியா	Macedonische Wikipedia
பண்டைய எகிப்தியக் கட்டிடக்கலை	Oud-Egyptische architectuur
பிரிகையாக்கிகள்	Reducent
இந்துக் கோவில்	Hindoeïstische tempel
சிறுநீர்ச் சோதனை	Urineonderzoek
அஸ்கரியேசிஸ்	Ascariasis
பிரித்தானியர்	Britten (volk)
வேதி ஆயுதங்களின் தடைக்கான அமைப்பு	Organisatie voor het Verbod op Chemische Wapens
தனியுடைமை	Eenmanszaak
ஸ்டீபனி மக்மஹோன்	Stephanie McMahon
தொலைக்காட்சி அணுக்கப் பெட்டி	Settopbox
ஆயுள் எதிர்பார்ப்பு அடிப்படையில் நாடுகளின் பட்டியல்	Lijst van landen naar levensverwachting
மேற்கத்திய கிறித்தவம்	Westers christendom
உலக நாடுகள் பட்டியல் (கண்டங்கள் வாரியாக)	Lijst van landen per werelddeel
குளுக்கோசு மானி	Glucosemeter
கிழக்கு பாக்கிஸ்தான்	Oost-Pakistan
ஹெக்டா மீட்டர்	Hectometer
குந்தி	Kunti
புக்கிட்	Phuket (stad)
புத்த விகாரம்	Vihara
பர்மிய தரைக்கரடி	Birmese zonnedas
67பி/சுரியூமொவ்-கெராசிமென்கோ	Komeet 67P/Tsjoerjoemov-Gerasimenko
முயல் (சீன சோதிடம்)	Konijn (astrologie)
நீலக்கால் நண்டு	Blauwe zwemkrab
மின் வழங்கல்	Elektriciteitsnet
வானொலி ஆர்வலர்	DX (radio)
செவன் இயர்ஸ் இன் திபெத் (திரைப்படம்)	Seven Years in Tibet (1997)
பண்பாட்டுப் பேரரசுவாதம்	Cultuurimperialisme
பாண்டியர்	Pandya's
கட்சு வளைகுடா	Golf van Kutch
குருதி ஊட்டக்குறை இதய நோய்	Ischemische hartklachten
பெருமம் மற்றும் சிறுமம்	Extreme waarde
செயலியை அமல்படுத்தும் வரிசை முறை	Bewerkingsvolgorde
வூ	Wú
பலதொழில்நுட்பப் பயிலகம்	Polytechnische school
பங்குப் பரிவர்த்தனையக வர்த்தக நிதி	Exchange-traded fund
மச்சிலிப்பட்டணம்	Masulipatnam
ஆணியல் பெண்	Tomboy (persoon)
நெகிரிட்டோ	Negrito
மலாய் விக்கிப்பீடியா	Maleise Wikipedia
திரு இருதயத் தேசிய பசிலிக்கா, பிரசல்ஸ்	Nationale Basiliek van het Heilig Hart
கருஞ்சேனை	Zwarthemden
