Afrig	Afrika
Wàll:Melosuufug Kamerun	Categorie:Geografie van Kameroen
Wàll:Somali	Categorie:Somalië
Wàll:Cadd	Categorie:Tsjaad
Wàll:Ugandaa	Categorie:Oeganda
Wàll:Réewum Diggu Afrig	Categorie:Centraal-Afrikaanse Republiek
Wàll:Filipiin	Categorie:Filipijnen
Wàll:Jëfandikukat nl	Categorie:Wikipedia:Gebruiker nl
Wàll:Jëfandikukat no-2	Categorie:Wikipedia:Gebruiker no-2
Wàll:Jëfandikukat no	Categorie:Wikipedia:Gebruiker no
Wàll:Jëfandikukat zh-1	Categorie:Wikipedia:Gebruiker zh-1
Wàll:Jëfandikukat zh-4	Categorie:Wikipedia:Gebruiker zh-4
Wàll:Jëfandikukat zh-2	Categorie:Wikipedia:Gebruiker zh-2
Wàll:Doolerandu	Categorie:Mechanica
Wàll:Armeeni	Categorie:Armenië
Wàll:Bahrayni	Categorie:Bahrein
Wàll:Siri	Categorie:Syrië
Wàll:Melosuufug Senegaal	Categorie:Geografie van Senegal
Wàll:Jeoorji	Categorie:Georgië
Wàll:Jamayka	Categorie:Jamaica
Wàll:Kataar	Categorie:Qatar
Wàll:Maldiif	Categorie:Maldiven
Wàll:Nepaal	Categorie:Nepal
Wàll:Omaan	Categorie:Oman
Wàll:Usbekistaan	Categorie:Oezbekistan
Wàll:Taariixu Tugal	Categorie:Geschiedenis van Europa
Wàll:San Marino	Categorie:San Marino
Wàll:Jordaani	Categorie:Jordanië
Wàll:Nikaraaguwa	Categorie:Nicaragua
Wàll:Bosni	Categorie:Bosnië en Herzegovina
Wàll:Noorwees	Categorie:Noorwegen
Wàll:Paraguwaay	Categorie:Paraguay
Wàll:Liechtenstein	Categorie:Liechtenstein
Wàll:Onduras	Categorie:Honduras
Wàll:Uruguwaay	Categorie:Uruguay
Wàll:Andoor	Categorie:Andorra
Wàll:Seerbi	Categorie:Servië
Wàll:Salbadoor	Categorie:El Salvador
Wàll:Ayiti	Categorie:Haïti
Wàll:Ekwadoor	Categorie:Ecuador
Wàll:Yaman	Categorie:Jemen
Wàll:Peru	Categorie:Peru
Wàll:Boliibi	Categorie:Bolivia
Wàll:Albaani	Categorie:Albanië
Wàll:Monaako	Categorie:Monaco
Wàll:Jén	Categorie:Vis
Wàll:Làkki Afrig	Categorie:Taal in Afrika
Wàll:Dëkki Benesuwela	Categorie:Stad in Venezuela
Royuwaay:ESP	Sjabloon:ES
Wàll:Rab	Categorie:Dierenrijk
Wàll:Nauru	Categorie:Nauru
Wàll:Antigua ak Barbuda	Categorie:Antigua en Barbuda
Wàll:Guyaana	Categorie:Guyana
Wàll:Koloombi	Categorie:Colombia
Wàll:Hip Hop	Categorie:Hiphop
Wàll:Alxuraan	Categorie:Koran
Wàll:Mbëj	Categorie:Elektriciteit
Wàll:Jëfandikukat pl	Categorie:Wikipedia:Gebruiker pl
Wàll:Weeri wolof	Categorie:Islamitische kalender
Wàll:Oseyaani	Categorie:Oceanië
Wàll:Montenegro	Categorie:Montenegro
Wàll:Moto	Categorie:Vervoermiddel
Wàll:Dëkki Senegaal	Categorie:Plaats in Senegal
Wàll:Làkki senegaal	Categorie:Taal in Senegal
Wàll:Adduna	Categorie:Wereld
Ngelaw	Lucht
Royuwaay:UGA	Sjabloon:UG
Royuwaay:UZB	Sjabloon:UZ
Trojany	Trojany (Mazovië)
Wàll:Njiiti Senegaal	Categorie:President van Senegal
Royuwaay:Jëfandikukat sw	Sjabloon:Gebruiker sw
Royuwaay:Jëfandikukat it-4	Sjabloon:Gebruiker it-4
Royuwaay:Jëfandikukat io-1	Sjabloon:Gebruiker io-1
Royuwaay:RUW	Sjabloon:RW
Royuwaay:MLT	Sjabloon:MT
Royuwaay:Kña	Sjabloon:KE
Royuwaay:JAM	Sjabloon:JM
Wàll:Wallis ak Futuna	Categorie:Wallis en Futuna
Wàll:Bés	Categorie:Dag
Wàll:Mbëjbijjaakon	Categorie:Elektromagnetisme
Wàll:Kàttan	Categorie:Energie
Wàll:Waañ	Categorie:Keuken
Royuwaay:MNG	Sjabloon:MN
Royuwaay:BEL	Sjabloon:BE
Wàll:Melo	Categorie:Kleur
Wàll:Jamono	Categorie:Tijdseenheid
Wàll:Nit ñi ci Téere Linjiil	Categorie:Persoon uit het Nieuwe Testament
Wàll:Làkki Niseer-Cóngoo	Categorie:Niger-Congo-taalfamilie
Wàll:Njëkk-taariix	Categorie:Prehistorie
Wàll:Saari alxuraan	Categorie:Soera
Wàll:Jëfandikukat nl-0	Categorie:Wikipedia:Gebruiker nl-0
Royuwaay:HUN	Sjabloon:HU
Wàll:Jëfandikukat en-1	Categorie:Wikipedia:Gebruiker en-1
Wàll:Jëfandikukat de-1	Categorie:Wikipedia:Gebruiker de-1
Wàll:Jëfandikukat da-N	Categorie:Wikipedia:Gebruiker da-M
Wàll:Taariixu Afrig	Categorie:Geschiedenis van Afrika
Royuwaay:Jëfandikukat li	Sjabloon:Gebruiker li
Fajar	Dageraad
Tan	Aegypiinae
Royuwaay:Style/IPA	Sjabloon:Style/IPA
Royuwaay:Style/yid	Sjabloon:Style/yid
Coreca	Coreca
Jagleel:Coppite yu mujj	Speciaal:RecenteWijzigingen
Wàll:Jëfandikukat ja-4	Categorie:Wikipedia:Gebruiker ja-4
