Naakaii Łizhiní Bikéyah	Afrika
Shádiʼááhdę́ę́ʼ tiníléí	Mexicaanse korsthagedis
Sahdii Bisí (Tsé Nástánii)	Petrified Forest National Park
Tsé Bighánílíní	Antelope Canyon
Naakaii Dootłʼizhii bimósí ałchinígíí	Roestkat
Naʼashǫ́ʼiiłchííʼ dootłʼizhígíí	Agama mwanzae
Kʼaabizhii	Mammillaria
Dahiitį́hídą́ą́ʼtsoh	Castilleja
Dlǫ́ʼbéʼézhóóʼ	Aristida
Dáʼághálii	Crotalaria
Chʼał bikʼos ádinígíí	Nasikabatrachus
Jéí náyoogisii	Echinocereus
Tłʼohtah náshdóí	Pampakat
Tsídii naʼałkǫ́ʼígíí	Papegaaiduikers
Tsisteeł diyogí	Matamata (schildpad)
Łóóʼ adishishí ntsxaaígíí	Reuzenmanta
Tónteel bibąąh hóyáanii	Indische bruinvis
Naakaii Łizhiní Bikéyahdę́ę́ʼ tsétah dibé	Manenschaap
Náhookǫsdę́ę́ʼ dlǫ́ʼii	Amerikaanse marter
Naalʼeełí naashchʼąąʼígíí	Carolina-eend
Tsinlátah nahatʼeʼiitsoh	Boomkangoeroes
Tsin naaʼeeł łóó beeʼháʼhaalʼééłiʼ	Trawler
Chʼosh biyaʼ	Waaiervleugeligen
Táłtłʼááh chʼosh	Waterroofkevers
Shádiʼááhdę́ę́ʼ tábąąstííntsoh	Manenrob
Táłtłʼááh álééh	Amerikaanse blauwe reiger
Tsísʼnáłtsooítsoh	Hoornaars
Táłtłʼááh naakaii náásééł yił aheełtʼéhii	Bidsprinkhaankreeften
Náátsʼózídę́ę́ʼ tsiiłtsooí	Goudfazant
Bisóodi Danilínígíí	Varkenachtigen
Gólízhii noodǫ́zígíí	Gestreepte skunk
Tsinlátah naʼashǫ́ʼiitsoh	Antilliaanse groene leguaan
Tó bichʼosh (séigoʼ nahalinígíí)	Waterschorpioen
Naʼastsʼǫǫsí bijaaʼntsxaaígíí	Grote langoorbuideldas
Tsʼání	Pinyongaai
Chʼééh digháhii bitsʼaʼ yilzhólí	Weekschildpadden
Chį́į́shghą́ʼiiłgaii	Witborstboomklever
Hastiin Diego de Landa	Diego de Landa
Tábąąstííntsoh (Akééháshį́į́dę́ę́ʼígíí)	Californische zeeleeuw
Mósí bizaʼazis hólóní	Buidelmarters
Tségad	Selaginella
Naaʼołí	Boon
Tsįyaalzhahí	Amerikaanse sperwer
Hashtłʼishdi chʼééh digháhii	Modder- en muskusschildpadden
Yaaʼ nahachagiígíí	Vlooien
Kéʼ łizhiní	Blackfoot (volk)
Tábąąsdísí áłtsʼíísí	Amerikaanse oeverloper
Náátsʼózídę́ę́ʼ toohjįʼ ndiigaii	Chinese zilverreiger
Łóóʼtsoh (Ałtsʼáʼáztiin)	Walvis
Dlǫ́ʼii łizhiní	Zwartvoetbunzing
Wóláchííʼ yildeełí łizhin dóó łigaígíí	Boommiereneters
Lókʼaatah bisóodi	Boszwijn
Hodíłchʼil tłʼízí	Sumatraanse bosgems
Hakʼaz Dineʼé Bikéyahdę́ę́ʼ tábąąstííntsoh	Stellerzeeleeuw
Dziłtah dlǫ́ʼii	Bergwezel
Naayééʼ tsídiitsoh	Moa
Atseełtsoii	Roodstaartbuizerd
Tóniłhę́ęshii (dééł)	Trompetkraanvogel
Naaltsoos Mormon Wolyéhígíí	Boek van Mormon
Téél halchíʼí	Roodborstlijster
Dlǫ́ʼátah néʼéshjaaʼ	Holenuil
Naʼashǫ́ʼii bijáád ádinígíí	Wormhagedissen
Naʼatłʼoʼii (chʼosh)	Webspinners
Dííłdzid yiyání	Kortschildkevers
Yáhashjool yázhí	Amerikaanse woudaap
Tłʼéeʼgo mágí	Nachtaapjes
Náʼagéédíchilí	Amerikaanse spitsmuismol
Tsʼíʼii jáádnézí	Langpootmuggen
Chʼil ditsʼozíłchííʼ	Ramboetan
Mágíłtsooí bináázhiní	Grijsgroen doodshoofdaapje
Tsídiiłtsooí bitʼaʼ łizhinígíí	Goudsijs
Tsʼíʼii noodǫ́zí	Tijgermug
Bitseeʼ yee adiłhałii yázhí	Kaaimannen
Anaasází	Pueblo (volk)
Chʼééh digháhiitsoh	Galapagosreuzenschildpad
Tsineeshbízhii	Amerikaanse boomkruiper
Yeenaʼałkǫ́ʼíłániichilí	Remipedia
Naʼnízhoozhí Bił Hahoodzo	McKinley County
Mąʼii Deeshgiizh Bił Hahoodzo	Sandoval County
Naatoohí Bił Hahoodzo	Cibola County
Tábąąstííntsoh łikizhígíí	Larghazeehond
Ooljééʼ yiikááʼ nandahí	Maanlanding
Toohjįʼ noołnahii yázhí	Groene reiger
Báshdo	Barstow (Californië)
Łóóʼ hashkéhé bíchį́į́hnézí	Koboldhaai
Tłʼiishtsiiʼí (łóóʼ)	Slangekopvissen
Chéłchaaʼ bideeneezígíí	Herculeskever
Déłí	Canadese kraanvogel
Ąąʼąʼiiłbáhí	Aziatische blauwe ekster
Tsétah chaaʼ	Stompstaarteekhoorn
Sighóla	Socorro (New Mexico)
Chéłchaaʼ disxǫsígíí	Prachtkevers
Naalʼeełí dootłʼizhí	Blauwvleugeltaling
Béíyózhin	Paiute
Tsin naabąąs	Huifkar
Tó Hasłeeh	Mancos
Dlǫ́tsʼósí łichííʼígíí	Ringstaartmangoest
Jádídlǫ́ʼii	Noordelijke huiswinterkoning
Yaayááhalzhiin	Zwartkeelgors
Tłʼohchintó	Hotevilla-Bacavi
Tséʼédǫ́ʼii	Echte vliegen
Chʼagiitsoh	Geelkoptroepiaal
Dahsání dah Yikahjí Tsin Deigházhígíí	Hystricomorpha
Níyolgi naʼałkǫ́ʼígíí (tónteel tsídii)	Alkstormvogeltjes
Tsinaʼayąʼii biyázhí	Zoraptera
Tseekʼi nástánii	Antilopegrondeekhoorns
Tłʼízíʼilí	Angorageit
Naatooh Sikʼaiʼí	Grants
Tsooʼtsʼiní (łóóʼ)	Arowana's
Tsinaʼayąʼii	Termieten
Náʼagéédí bíchį́į́h sǫʼ nahalinígíí	Stermol
Naaléełchííʼ	Araparkiet
Naaʼahóóhai disxǫsígíí	Lophophorus
Tsįyaatsiiłchííʼ	Rode tiran
Náhookǫsdę́ę́ʼ tsétah dibé	Dalls schaap
Níłtsą́goʼ łichííʼígíí (chʼil abeʼé bichʼosh)	Tetraopes tetrophthalmus
Naʼnízhoozhí	Gallup (New Mexico)
Łóóʼ binááʼtsohí	Grootoogbaarzen
Tsisteeł bikʼosneezígíí	Slangenhalsschildpadden
Kilim	Kelim
Táłtłʼááh wónitłʼizí	Waterezeltje
Chąąneiłhizii	Spiegelkevers
Tʼáyaałtso	Californische grondspecht
Nákʼeʼnáʼijiní	Canadese boomklever
Wáláchíʼétah nahachagiichilí	Mierenkrekels
Yáhashjool yił aheełtʼéhii	Zonneral
Tsintah bisóoditsoh	Reuzenboszwijn
Zééjíjinii	Kuifhoenderkoet
Naʼashǫ́ʼii hááʼáchʼiidí	Luipaardleguanen
Naʼníʼá Hayázhí	Cameron (Arizona)
Naalkʼįhíchilí (bizaʼazis hólónígíí)	Vliegende buidelmuis
Dlǫ́ʼii yił aheełtʼéhii łibáhígíí	Indische ichneumon
Adijiłii yił aheełtʼéhí	Kleine egeltenrek
Łóóʼ hashkéhé bitseeneezígíí	Voshaai
Chį́į́shłigaií dóó Naalʼeełítsoh	Anserinae
Jádí biniiʼtsʼózí	Hartenbeest
Tábąąh jádí	Waterbok
Jádí binááʼ dį́įʼii	Hirola
Tó wónaanídę́ę́ʼ dlǫ́ʼáyázhí	Siesel
Ásáí Dineʼé Bikéyahdę́ę́ʼ mąʼiitsoh	Arabische wolf
Dlǫ́iitsoh bíchį́į́hdzísgaiígíí	Witsnorpalmroller
Aniłtʼánii yázhí	Bladvlooien
Chʼał mágí nahalinii	Phyllomedusa sauvagii
Sǫʼ tsisteeł	Stralenschildpad
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tązhii	Boskalkoen
Mąʼii dootłʼizhí	Noord-Amerikaanse katfret
Táłkááʼ dilwoʼítsʼóóz	Hydrometridae
Łeʼesoołii (nahachaʼígíí)	Microcoryphia
Tóidoozohii bidaaʼ łigaiígíí	Koeten
Kʼaalógiitsoh disxǫsígíí	Morpho
Mąʼii Deeshgiizh	Jemez Springs
Tsisteeł hashkéhé	Bijtschildpadden
Tsilhazésii	Grijskeeltiran
Naʼastsʼǫǫsí bizaʼazis hólóní	Breedvoetbuidelmuizen
Wáláchííʼ	Gewone steekmier
Tsídiidą́ą́ʼ	Vlambloem
Wóniłchxoní	Schildwantsen
Tsiikʼánii (tsídii)	Hamerkop
Nahatʼeʼii niłchxoní	Muskuskangoeroerat
Náátsʼózídę́ę́ʼ tsiidootłʼizhii	Argusfazant
Ábishjaaʼ (daadánígíí)	Lijst van eetbare paddenstoelen
Tábąąh bisóodiłchíiʼii	Penseelzwijn
Kéyah Dańlínídę́ę́ʼ naalʼeełí	Filipijnse eend
Tiníléítsoh naʼałkǫ́ʼígíí	Watervaraan
Kézhoozhʼilí (tsin yigházhígíí)	Goendi's
Jádí bideeneezígíí	Oryxen
Dáádílí łikizhígíí	Panterbaars
Tsísʼná náʼagéédígíí	Anthophorini
Mágíłbáhí	Diadeemmeerkat
Jaaʼditłʼoʼí naalkʼįhígíí (bizaʼazis hólónígíí)	Reuzenkoeskoes
Nahatʼeʼiitsoh yázhí	Pademelons
Séí tiníléítsoh	Goulds varaan
Dlǫ́ʼii yił aheełtʼéhítsʼózí	Slanke mangoeste
Tółání	Laguna (New Mexico)
Łóóʼ bigháhootʼíní	Aziatische glasbaarzen
Tʼiis	Italiaanse populier
Tónhidigaii	Silverton (Colorado)
Chʼosh áłtʼą́ą́ʼígíí	Grondwantsen
Dééłtsoh	Koritrap
Shádiʼááhdę́ę́ʼ dahsání	Grijpstaartstekelvarken
Dlǫ́ʼii bitseenézí	Langstaartwezel
Tsénáhádzoh	Twin Lakes (New Mexico)
Kéyahígíí nidineesdzaʼ	Dust Bowl
Nahachagii dootłʼizhí	Sabelsprinkhanen
Tsé Bíyah Aniiʼáhí	Chaco-cultuur
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ biyázhí neiyéhé	Voskoesoe
Naaʼahóóhaiłbáhí	Perdix
Tsísʼnádą́ą́ʼ	Gaillardia
Jeeshóóʼ ałchozhígíí	Palmgier
Łóóʼ adiłdoní	Toxotes
Dlǫ́ʼii yił aheełtʼéhii łitsxooígíí	Vosmangoest
Naakaii Łizhiní Bikéyahdę́ę́ʼ nahatʼeʼii	Springhaas
Táłtłʼááh chʼosh chʼééh digháhii bitsʼaʼ ádinígíí	Nudibranchia
Tiníléítsoh noodǫ́zígíí	Nijlvaraan
Naʼashǫ́ʼii bideewozhii	Doornstaartagamen
Chʼał ntsxaaígíí	Goliathkikker
Tééh naaʼahóóhaitʼą́ʼí	Frankolijnen
Yáhashjool	Noord-Amerikaanse roerdomp
Dlǫ́ʼii yił aheełtʼéhii yázhí	Dwergmangoest
Halchíítah (Áshįįh Biiʼtó Hahoodzo)	Halchita
Nahatʼeʼiitsoh Bikéyahdę́ę́ʼ tábąąstííntsoh	Australische zeeleeuw
Mąʼiiłtsooí yázhí	Grootoorkitvos
Naʼazísí Toʼí	Cuba (New Mexico)
Tsékááʼgóó naagháhii (chʼosh)	Mantophasmatodea
Tłʼohtahilzhahí	Seriema's
Táłtłʼááh tsxilghááhtsoh	Reuzensalamanders
Dibé dághaaʼígíí	Japanse bosgems
Chʼééh digháhii bitsiiʼntsxaaígíí	Grootkopschildpad
Tsékʼi naʼałkǫ́ʼii	Pyrenese desman
Naʼastsʼǫǫsítsoh (chʼosh yildeełígíí)	Agouta
Tsídiiłtsooí	Mangrovezanger
Chʼagii	Epauletspreeuw
Łéʼétsoh diwozhí	Grote haaregel
Łéʼétsoh bizaʼazis hólóní	Kamstaartbuidelrat
Dlǫ́ʼiitsoh noodǫ́zígíí	Gewone bandcivetkat
Tábąąstííntsoh łizhin dóó łigaiígíí	Bandrob
Jeeshóóʼ bitsiiłgaiígíí	Witkopgier
Tábąądijádí	Killdeerplevier
Naʼazísí	Goffers
Łeeyiʼ chʼał dichʼízhí	Mexicaanse gravende pad
Táłtłʼááh naatʼáʼii	Vliegende knorhanen
Naakaii Dootłʼizhí Dabikéyah	Zuid-Azië
Sháńdíín bitsʼą́ą́dę́ę́ʼ atsiniltłʼish álʼį́	Zonnepaneel
Tsé noolchʼóshii	Kloofwinterkoning
Naaʼahóóhai bikeetsohígíí	Megapodius
Naʼashǫ́ʼii kááʼtsʼinígíí	Pantsergordelstaarthagedis
Diltʼóshii	Baeolophus
Kinteel (Yootó Hahoodzo)	Aztec (New Mexico)
Néʼétsah azeeʼ	Canadese fijnstraal
Atsá diłhiłígíí	Indische zwarte arend
Ąąʼąʼii dootłʼizhígíí	Groene kitta
Bisóodi dághaaʼígíí	Baardzwijn
Iichʼąhii biyázhí	Witte vliegen
Dólii	Bergsialia
Kin Noodǫ́ǫ́z	Bernalillo
Tsiikʼánii (łóóʼ ooshgę́ęzhii)	Vioolroggen
Biniiʼdootłʼizh	Glaucidium
Mágí biniiłgaígíí	Witgezichtsaki
Wónaʼałtéhii	Roofvliegen
Tłʼoh azihii	Ephedra
Kʼaalógii bitʼaʼ disxǫsgo łikizhígíí	Prachtvlinders
Tiníléítsoh bikʼosnézí	Woestijnvaraan
Łéʼétsoh bitseetłʼooígíí	Rotsrat
Tsídii bizééʼ naashchʼąąʼí	Tragopan
Tábąąsdísíłbáí	Limnodromus
Dilzhę́ʼii	Stellers gaai
Mágí naashchʼąąʼígíí	Roodscheendoek
Chʼosh naʼałkǫ́ʼí	Waterkevers
Tééh jádítsoh	Taurotragus
Łeeyiʼ bitiiní	Woelmuizen
Atsáłbáí	Prairievalk
Dáádílítsoh	Donkere reuzentandbaars
Tsétah bįįhchilí	Poedoe
Tsʼánídílzhiʼí	Westelijke struikgaai
Iichʼąh	Convulsie
Kiisʼáanii	Pueblo (cultuur)
Jeeshóóʼ bitsiiłtsooí	Kleine geelkopgier
Dlǫ́ʼii noodǫ́zígíí	Witnekwezel
Tiníléítsoh dootłʼizhígíí	Smaragdvaraan
Yáázhłání (naaldlooshii)	Gewone tenrek
Łéʼétsoh yił aheełtʼéhii	Schijnratten
Tábąąh łéʼétsoh	Australische beverrat
Ghą́ą́ʼdiʼilii (tsin yigházhígíí)	Manenrat
Lókʼaaʼ yigházhígíí	Rietratten
Tsídii bitʼaʼ dah adadootłʼizhígíí	Polyplectron
Dilchʼóshii	Junco
Chį́į́hʼadeeʼii (łóóʼ)	Lepelsteuren
Kéyah Dańlínídę́ę́ʼ bisóodi bizęęs hastání	Visayawrattenzwijn
Chąąneiłmaasii	Mestkevers
Dzílí	Coopers sperwer
Tó bichʼosh (tsiiyaago naʼałkǫ́ʼígíí)	Bootsmannetjes
Tónteel táshchozhii	Sterns
Naʼastsʼǫǫsí noodǫ́zígíí	Lemniscomys
Tówoł	Taos (New Mexico)
Díchʼíító	Bitter Springs
Kʼish biyaʼ dootłʼizhígíí	Elzenhaantje
Dóliiłchííʼ	Blauwkeelsialia
Łóóʼ binááʼ ádiní	Blinde baarszalmen
Naabiʼání	Bloomfield (New Mexico)
Tséłgaii Deezʼáhí	Bluff (Utah)
Aniłtʼánii (nahakʼízígíí)	Oecanthinae
Aniłtʼánii łizhinígíí	Elzenvliegen
Mágí bichį́į́łgaígíí	Roodstaartmeerkat
Naakaii Bikéyahdę́ę́ʼ bįįh yázhí	Spiesherten
Naʼashǫ́ʼii dootłʼizhí (naaldeehii)	Halsbandleguaan
Naʼashǫ́ʼiiłbáhí	Woestijnleguaan
Dlǫ́tsʼósí noodǫ́zígíí	Grandidiermangoest
Łéʼétsoh gahjaaʼígíí	Madagaskarreuzenrat
Chʼoshtsoh bíláshgaanʼilí	Kiwa hirsuta
Anáʼálwoʼ:Bee hadítʼéhígíí	Portaal:Hulp en beheer
Deinihootso	Dennehotso
Táłtłʼááh chʼoshtsoh bideeneezí	Langoest
Táshchozhiizhiin	Zwarte phoebe
Moháábii dinéʼiʼ	Mojave (volk)
Hodíílid	Dolores (Colorado)
Néʼéshjaaʼkálii	Cactusuil
Chaaʼ Bitoʼ	McNary (Arizona)
Tsídii bitʼaʼ hózhóón	Paradisaea
Tiníléítsoh łikizhígíí	Reuzenvaraan
Tiníléítsoh bíchį́į́h dikʼání	Witkeelvaraan
Tsé noolchʼóshiiłbáhí	Amerikaanse rotswinterkoning
Chʼiyíítʼogii	Tyrannus
Dloziłgaii	Tamiasciurus
Tsísʼná dootłʼizhí	Goudwespen
Halchíítah	Painted Desert
Wóósitsʼílí	Bedwants
Tsé Nikání	Round Rock (Arizona)
Tsʼahgi naalnoodí	Sceloporus graciosus
Biizhii	Amerikaanse nachtzwaluw
Tsidiłdǫǫhii	Megascops
Dághaaʼ Łichííʼ	Kirtland (New Mexico)
Kǫʼ naʼałbąąsii hééł bee nágéhéʼ	Goederentrein
Dlǫ́ʼiitsoh bizééʼ noodǫ́zí	Maleise civetkat
Jaaʼabaní	Microchiroptera
Chʼosh chʼééh digháhii bideeʼ dį́įʼii	Stylommatophora
Wóláchííʼ yildeełí	Miereneters
Tséʼédǫ́ʼii łibáhígíí	Dambordvliegen
Dlozishzhiin	Witstaarteekhoorn
Tó Sido Háálį́	Pagosa Springs
Aniłtʼánii (naakaii náásééł nahalinígíí)	Mantispidae
Tsisteeł naʼazísí	Gopherschildpadden
Tó Diłhił Biih Yílį́	Snowflake (Arizona)
Yoołgai (Hoozdoh Hahoodzo)	Superior (Arizona)
Tsé Noodǫ́ǫ́z	Springerville
Kin Łání (Dibé Nitsaa Hahoodzo)	Durango (Colorado)
Tségháhoodzání	Window Rock
Tsé Yaatóhí	Cortez (Colorado)
Tótaʼ	Farmington (New Mexico)
Tó Naneesdizí	Tuba City
Tséhootsooí	Fort Defiance
Chʼínílį́	Chinle
Lókʼaaʼdeeshjin	Keams Canyon
Tséyiʼ (Chʼínílį́įgiʼígíí)	Canyon de Chelly National Monument
Chʼoshtsoh bíláshgaantsohí (tónteelgiʼígíí)	Zeekreeften
Tábąąstííntsoh bighaaʼ díłchʼilígíí	Zeeberen
Kʼaiʼbisii	Veery
Dlǫ́ʼiiłtsooí	Japanse marter
Tsʼímah	Chama (New Mexico)
Táshchozhii dootłʼizhí	Purperzwaluw
Nihookááʼ tsídii bichʼahígíí	Bucorvus
Tsísʼnáłtsooí	Kortkopwespen
Azeeʼ hókánii łibáhígíí	Gekroesde melkdistel
Jélii łóóʼ daʼhólzhaʼígíí	Salpidae
Gólízhii binághah dah łigaiígíí	Gekraagde skunk
Dloziłbáhí	Westelijke grijze eekhoorn
Tsiiʼnteelí (łóóʼ)	Platkopvissen
Tsiiłchin Biiʼ Tó	Chilchinbito
Bikétłʼááh Hoolzhólígíí	Tylopoda
Deeschííʼ Bikooh	Cibecue
Chíshii Kʼíneeshbizhii	Lucy's zanger
Tǫ́ʼgaaʼ	Cochiti
Táłtłʼááh séigoʼ bitsʼaʼígíí	Atlantische degenkrab
Nááʼnoodǫ́ǫzii	Boerenkers
Tóidoozohii dootłʼizhígíí	Porphyrio
Chʼagiiłbáhí	Molothrus
Jáád neishoodítsʼóóz	Gewone sluipwespen
Bitsiichįįshgahí	Grijze notenkraker
Naʼashǫ́ʼii naatʼaʼí	Vliegende draakjes
Gólízhii bíchį́į́h tʼáá łichíiʼii	Varkenssnuitskunks
Iichʼąhii naashchʼąąʼígíí	Chrysiridia rhipheus
Wóóseetsʼiniiniłhiní	Grottensprinkhanen
Ałchʼįʼ beʼastłʼóní	Tamale (voedsel)
Gólízhii yistłʼinígíí	Gevlekte skunks
Biniiʼnoodǫ́zí (tsin yigázhígíí)	Viscacha
Aniłtʼánii (bideeneezígíí)	Vlinderhaften
Zábąąhnteelii (łóóʼ ooshgę́ęzhii)	Rhina ancylostoma
Sílátsoh (chʼil)	Slipbladige rudbeckia
Tłʼiish kʼaaʼ	Racer
Tsézhin Dilkǫǫh	Dilkon
Naaldlooshii Bikéshgaan Dahólónígíí	Hoefdieren
Tółání Biyáázh	North Acomita Village
Tó Dínéeshzheeʼ	Kayenta
Beehai (Kintah)	Dulce (New Mexico)
Néʼézhiin	Roodneksapspecht
Ginítsoh diłhiłí	Zwarte buizerd
Hoshdódii	Whippoorwill
Hasbídí Áshįįhí	East Fork
Chʼééh digháhii bitsʼaʼ dah deezʼáhí	Graptemys
Dlǫ́ʼii yił aheełtʼéhii diłhiłígíí	Herpestes pulverulentus
Chʼosh bitsʼaʼ doolghasígíí	Pectinidae
Chaatʼíní bichʼosh	Groen zuringhaantje
Ndilkal biyaʼ noodǫ́zígíí	Acalymma vittatum
Iichʼąhii bitʼaʼ ahéédiníʼáhí	Eumorpha achemon
Tádídíín yiyání łizhinígíí	Timarcha
Chʼałdą́ą́ʼ bichʼosh	Crioceris
Tsékʼi Naʼasdzooí (Yootó Hahoodzo)	El Morro National Monument
Tsídii bidaatsoh naashchʼąąʼí	Toekans
Kʼaiʼbiiʼtó	Kaibito
Chʼał bikéshgaan hólóní	Xenopus
Tó wónaanídę́ę́ʼ nahashchʼidí	Meles
Bidił Daazdoígíí dóó Daʼałtʼoʼígíí ałkééʼ daasdzoh	Lijst van zoogdieren
Dáánézí (łóóʼ)	Snipmesvissen
Tłʼiish bichóhí	Hoornratelslang
Tsékʼi yaʼiiʼáhii	Tabakspijlstaart
Táłkááʼ sikaadí	Akkerhoornbloem
Táłtłʼááh chʼosh chʼééh digháhii bitsiiʼ dikʼání	Cephalaspidea
Dahtooʼ yinooghałii	Moeraswinterkoning
Atʼaʼ éljołí nahalinígíí (táłtłʼááh chʼosh)	Sabellidae
Tʼááłáhági átʼéego:Bééshbichʼahí	Categorie:Duitsland
Tʼááłáhági átʼéego:Wááshindoon bikéyah ałhidadiidzooígíí	Categorie:Verenigde Staten
Táłtłʼááh kʼaaʼ (łóóʼ)	Fluitbekvissen
Tʼááłáhági átʼéego:Dibé diníí bikéyah	Categorie:Spanje
Tʼááłáhági átʼéego:Naakaii Bikéyah	Categorie:Mexico
Naalkʼįhí bizaʼazis hólóní	Suikereekhoorns
Wóódeʼełchíhii	Randwantsen
Naʼashǫ́ʼii diwozhígíí	Reuzengordelstaarthagedis
Choozhghalii	Icterus (geslacht)
Tsinlátah mąʼii	Slankberen
Tsiiyah wozhii	Sturnella
Chʼóyáázh nahalinígíí (táłtłʼááh chʼosh)	Kerstboomworm
Chʼosh dichiłí bitsʼaʼígíí	Mytiloida
Naatsédlózii	Renkoekoeken
Tʼááłáhági átʼéego:Bidił daazdoígíí dóó daʼałtʼoʼígíí	Categorie:Zoogdier
Tʼááłáhági átʼéego:Naaldlooshii dadichʼízhii	Categorie:Reptiel
Tʼááłáhági átʼéego:Biyáázh Tsʼǫʼasánígíí	Categorie:Amfibie
Tʼááłáhági átʼéego:Tsídii	Categorie:Vogel
Tʼááłáhági átʼéego:Chʼosh doo yitʼíinii dláádí dóó Ábishjaaʼ	Categorie:Schimmel
Tʼááłáhági átʼéego:Chʼil	Categorie:Plant
Tʼááłáhági átʼéego:Nátʼą́ą́ʼ náháneʼ	Categorie:Geschiedenis
Tʼááłáhági átʼéego:Naʼalkaah	Categorie:Wetenschap
Béégashii bideetsohí	Watusirund
Tséchʼízhí	Rough Rock
Tsétaʼkin	San Ildefonso Pueblo
Niʼiijíhí	Navajo (New Mexico)
Lókʼaahnteel	Ganado (Arizona)
Łóóʼtsoh bizábąąh shiyishí	Noordkapers
Tʼiis Názbąs	Teec Nos Pos
Díwózhii Biiʼ Tó	Greasewood
Kiisʼáanii Naakáí yikʼéʼ daʼdéísdlį́į́h	Pueblo-opstand
Tó hájiiloh	Santo Domingo Pueblo
Naashashí (Yootó Hahoodzo)	Santa Clara Pueblo
Táshchozhii ndiilkʼísii	Amerikaanse klifzwaluw
Tsídiiłtsooiiłkizhígíí	Bairds gors
Ndilkal biyaʼ łikizhígíí	Diabrotica undecimpunctata
Jiłhazhí bichʼosh (níłtsą́goʼ)	Desmocerus californicus
Hosh yiyání (níłtsą́goʼ)	Moneilema
Hanáádlį́	Huerfano
Tséʼałnáoztʼiʼí	Sanostee
Gad yił aheełtʼéhígíí bichʼosh	Diorhabda carinulata
Jádító	Jeddito
Iichʼąhii	Nachtvlinder (dier)
Chʼoshtsoh yázhí bíláshgaantsohí	Springkrabben
Roman dinéʼiʼ	Oude Rome
Tóyééʼ	Steamboat
Naadą́ą́ʼ bichʼosh	Maïswortelboorder
Chʼil deenínii	Zacht loogkruid
Dził Bílátah Łitsooí	Sunset Crater Volcano National Monument
Tsééhílį́	Tsaile
Shádiʼááhdę́ę́ʼ tsékʼi dlǫ́ǫ́ʼ	Rotsmoko
Chʼílwozh	Whiteriver
Shą́ą́ʼtóhí	Shonto
Tó Nehelį́į́h	Tonalea
Kin Náztʼįʼ	Shongopovi
Tó Hałtsooí	Sheep Springs
Lókʼaʼchʼégai	Lukachukai
Tsé Binííʼtóhí	Tse Bonito
Tsiizizii	Leupp
Yaʼniilzhiin	Torreon (New Mexico)
Náhodeeshgiizh Chʼínílíní	Pueblo Pintado
Ooljééʼ Tó dóó Tsé Deelghasii	Oljato-Monument Valley (Arizona)
Dáʼákʼeh Halání	Many Farms
Názlíní	Nazlini
Niʼiijííh Hasání	Sawmill
Tséʼnaa Naʼníʼáhí	Rainbow Bridge National Monument
Tsé Łichííʼ Dahazkání (Hoozdoh Hahoodzo)	Red Mesa
Maʼiitoʼí	Houck
Tó Niłtsʼílí	Crystal (New Mexico)
Tábąąh béégashii ałchiní	Bubalus arnee
Dáádílí ntsxaaígíí	Itajara
Naakaii Chʼah	Mexican Hat
Chʼosh ałchozhii (iichʼąhii)	Klerenmot
Bitátʼahkin	Navajo National Monument
Tʼááłáhági átʼéego:Ałtsʼáʼáztiin	Categorie:Wikipedia:Doorverwijspagina
Bis Deezʼáhí	Newcomb (New Mexico)
Tsintah bįįhchilí	Echte dwergherten
Yiikʼiʼdaʼ hiiznáʼ	Offensief (militair)
Tʼiistsʼóóz	Smalbladige populier
Naatʼáanii Nééz	Shiprock (New Mexico)
Tsékʼi naʼazólii	Sauromalus
Juan de Oñate	Juan de Oñate
Kʼish Chʼínítʼiʼ	Paguate
Sǫʼtsoh nátʼoh	Smalbladige wilg
Yaaʼííʼáhí (Bidááʼ Haʼaztʼiʼ Tsékooh)	Desert View Watchtower
Sengaa	San Carlos (Arizona)
Ńdíshchííʼ Dah Shizhóód	Pinehill
Naatoohó (Kintah)	Isleta Village Proper
Atsá	Arend (roofvogel)
Naʼashǫ́ʼiinteeltsxooí	Keizerrotshagedis
Séíbéʼézhóóʼ	Muhlenbergia
Tsʼíhootso	St. Michaels (Arizona)
Tłʼoh Łikizhí	Tesuque
Dibé łizhiní dinéʼiʼ	San Felipe Pueblo
Maʼii Tééh Yitłizhí	Brimhall Nizhoni
Tsé Chʼééchiiʼ	Mesita
Doo Alkʼahii	Upper Fruitland
Łichíiʼii	Lechee
Tsé Bitʼaʼí	Shiprock (rotsformatie)
Tʼiistsʼóóz Ńdeeshgizh	Crownpoint
Naashtʼézhí (Yootó Hahoodzo)	Zuni Pueblo
Ndilnaʼii	Luiaards
Hashtłʼish Tó	Claypool (Arizona)
Tsísʼnáyázhí	Halictidae
Oozéí Hayázhí	Moenkopi
Bíina	Ignacio
Tsé Dootłʼizh (Hoozdoh Hahoodzo)	Peridot (Arizona)
Chʼałtʼą́hí	Pipa's
Dą́ʼáchaan	Ustilago
Kinłitsosinil	Church Rock
Iichʼąhiiłgai bitʼaʼnézí	Thysania agrippina
Tsézhįįh Deezlį́	Black Rock (New Mexico)
Séí nahachagiichilí (chʼosh bikágí ntłʼizí)	Strandvlooien
Naakaii Bitoʼ	Nakaibito
